bandName,bandNumber,address,postalCode,txtPone,website
Abegweit,Abegweit,"PO BOX 36, 11222 ST. PETERS ROAD, SCOTCHFORT, PE",C0A 1T0,(902) 676-2353,http://www.abegweitfirstnations.com/
Lennox Island,Lennox Island,"PO BOX 134, LENNOX ISLAND, PE",C0B 1P0,(902) 831-2779,http://www.lennoxisland.com/
Elsipogtog First Nation,Elsipogtog First Nation,", 373 BIG COVE ROAD, ELSIPOGTOG FIRST NATION, NB",E4W 2S3,(506) 523-8200,http://www.elsipogtog.ca/
Buctouche MicMac,Buctouche MicMac,"9 RESERVE ROAD, BUCTOUCHE RESERVE, NB",E4S 4G2,(506) 743-2520,http://www.nsmdc.ca/main.html
Esgenoopetitj First Nation,Esgenoopetitj First Nation,"621 BAYVIEW DRIVE, BURNT CHURCH, NB",E9G 2A8,(506) 776-1200,http://esgenoopetitjfirstnation.org/
Madawaska Maliseet First Nation,Madawaska Maliseet First Nation,"1771 MAIN STREET, MADAWASKA MALISEET FIRST NAT, NB",E7C 1W9,(506) 739-9765,http://www.madawaskamaliseetfirstnation.com/
Eel Ground,Eel Ground,"47 CHURCH RD, EEL GROUND, NB",E1V 4E6,(506) 627-4600,http://www.eelgroundfirstnation.ca/
Eel River Bar First Nation,Eel River Bar First Nation,"11 MAIN STREET, UNIT 201, EEL RIVER BAR, NB",E8C 1A1,(506) 684-6277,http://nsmdc.ca/main.html
Fort Folly,Fort Folly,"PO BOX 1007, DORCHESTER, NB",E4K 3V5,(506) 379-3400,http://www.fortfolly.nb.ca/
Indian Island,Indian Island,"61 INDIAN ISLAND DRIVE, INDIAN ISLAND, NB",E4W 1S9,(506) 523-4875,http://indianisland.ca
Kingsclear,Kingsclear,"77 FRENCH VILLAGE RD, KINGSCLEAR FIRST NATION, NB",E3E 1K3,(506) 363-3028,http://www.kingsclear.ca
Oromocto First Nation,Oromocto First Nation,"PO BOX 417, 4 HIAWATHA AVENUE, OROMOCTO, NB",E2V 2J2,(506) 357-2083,http://www.ofnb.com/
Pabineau,Pabineau,"1290 PABINEAU FALLS ROAD, PABINEAU FIRST NATION, NB",E2A 7M3,(506) 548-9211,http://www.pabineaufirstnation.ca/
