No.,Name,Location,Hectares,bandNumber,bandName,address
6000,MORELL 2,38.4 KM NE/NE OF/DE CHARLOTTETOWN,83.0,1,Abegweit,"PO BOX 36, 11222 ST. PETERS ROAD, SCOTCHFORT, PE, C0A 1T0"
6001,ROCKY POINT 3,S.S. OF CHARLOTTETOWN HARBOUR,4.9,1,Abegweit,"PO BOX 36, 11222 ST. PETERS ROAD, SCOTCHFORT, PE, C0A 1T0"
6002,SCOTCHFORT 4,24 KM NE/NE OF/DE CHARLOTTETOWN,113.1,1,Abegweit,"PO BOX 36, 11222 ST. PETERS ROAD, SCOTCHFORT, PE, C0A 1T0"
6003,LENNOX ISLAND 1,24 KM N/N OF/DE SUMMERSIDE,535.1,2,Lennox Island,"PO BOX 134, LENNOX ISLAND, PE, C0B 1P0"
9942,LENNOX ISLAND NO.6,,9.7,2,Lennox Island,"PO BOX 134, LENNOX ISLAND, PE, C0B 1P0"
9763,LENNOX ISLAND RESERVE NO. 5,,18.8,2,Lennox Island,"PO BOX 134, LENNOX ISLAND, PE, C0B 1P0"
6004,RICHIBUCTO 15,8 KM SW/SO OF/DE REXTON,1956.2,3,Elsipogtog First Nation,", 373 BIG COVE ROAD, ELSIPOGTOG FIRST NATION, NB, E4W 2S3"
9775,SOEGAO NO. 35,,130.1,3,Elsipogtog First Nation,", 373 BIG COVE ROAD, ELSIPOGTOG FIRST NATION, NB, E4W 2S3"
6005,BUCTOUCHE 16,3.2 KM SW OF BUCTOUCHE,62.3,4,Buctouche MicMac,"9 RESERVE ROAD, BUCTOUCHE RESERVE, NB, E4S 4G2"
10101,BUCTOUCHE MICMAC BAND EXTENSION,New Brunswick,89.6,4,Buctouche MicMac,"9 RESERVE ROAD, BUCTOUCHE RESERVE, NB, E4S 4G2"
6006,ESGENOÔPETITJ INDIAN RESERVE NO. 14,32 KM NE/NE OF/DE CHATHAM,985.4,5,Esgenoopetitj First Nation,"621 BAYVIEW DRIVE, BURNT CHURCH, NB, E9G 2A8"
