bandName,Province,Hectares
Abegweit,PE,201.0
Lennox Island,PE,563.6
Elsipogtog First Nation,NB,2086.3
Buctouche MicMac,NB,151.89999999999998
Esgenoopetitj First Nation,NB,4405.5
Madawaska Maliseet First Nation,NB,504.40000000000003
Eel Ground,NB,2823.0
Eel River Bar First Nation,NB,572.4
Fort Folly,NB,56.1
Indian Island,NB,38.4
Kingsclear,NB,386.7
Oromocto First Nation,NB,100.7
Pabineau,NB,429.1
Metepenagiag Mi'kmaq Nation,NB,3910.8
Saint Mary's,NB,126.9
Acadia,NS,874.7
Annapolis Valley,NS,185.2
Bear River,NS,689.3
Potlotek First Nation,NS,597.6
Eskasoni,NS,5603.5
Pictou Landing,NS,315.09999999999997
Membertou,NS,320.20000000000005
Millbrook,NS,445.59999999999997
Miawpukek,NL,2839.0
Nation Huronne Wendat,QC,378.0
Listuguj Mi'gmaq Government,QC,4344.0
Première Nation Wolastoqiyik (Malécite) Wahsipekuk,QC,169.9
Conseil de la Première Nation Abitibiwinni,QC,15540.2
Waswanipi,QC,0.0
Eastmain,QC,0.0
Cree Nation of Chisasibi,QC,0.0
Cree Nation of Nemaska,QC,0.0
Cree Nation of Wemindji,QC,0.0
The Crees of the Waskaganish First Nation,QC,0.0
Communauté anicinape de Kitcisakik,QC,0.0
Nation Anishnabe du Lac Simon,QC,678.4
Timiskaming First Nation,QC,1852.0
Kebaowek First Nation,QC,50.6
Long Point First Nation,QC,36.8
Mohawks of Kahnawá:ke,QC,7900.0
Première Nation des Abénakis de Wôlinak,QC,80.4
Odanak,QC,578.0
Kitigan Zibi Anishinabeg,QC,21009.0
Cree Nation of Mistissini,QC,0.0
Première Nation des Pekuakamiulnuatsh,QC,1522.0
Conseil des Atikamekw de Wemotaci,QC,3336.6
Les Atikamekw de Manawan,QC,773.0
Atikamekw d'Opitciwan,QC,927.0
Naskapi Nation of Kawawachikamach,QC,0.0
Les Innus de Ekuanitshit,QC,3838.0
Montagnais de Unamen Shipu,QC,69.4
Bande des Innus de Pessamit,QC,25205.0
Innue Essipit,QC,86.5
Montagnais de Pakua Shipi,QC,0.0
Oujé-Bougoumou Cree Nation,QC,0.0
Première nation de Whapmagoostui,QC,0.0
Mississaugas of the Credit,ON,2392.6
Chippewas of Nawash First Nation,ON,8093.800000000001
Saugeen,ON,5061.5
Big Grassy,ON,11877.6
Couchiching First Nation,ON,42.0
Lac La Croix,ON,6214.1
Naicatchewenin,ON,2055.9
Nigigoonsiminikaaning First Nation,ON,1107.6
Rainy River First Nations,ON,8256.4
Ojibways of Onigaming First Nation,ON,777.0
Seine River First Nation,ON,5152.200000000001
Wahta Mohawk,ON,5991.6
Moose Deer Point,ON,250.5
Shawanaga First Nation,ON,4362.0
Chippewas of Georgina Island,ON,7791.4
Chippewas of Rama First Nation,ON,11.2
Beausoleil,ON,9.3
Albany,ON,36345.7
Attawapiskat,ON,27275.899999999998
Moose Cree First Nation,ON,17393.0
Taykwa Tagamou Nation,ON,2188.8
Weenusk,ON,5310.0
Niisaachewan Anishinaabe Nation,ON,279.2
Eagle Lake,ON,3592.0
Grassy Narrows First Nation,ON,4145.0
Animakee Wa Zhing #37,ON,2653.0
Shoal Lake No.40,ON,609.0
Wabigoon Lake Ojibway Nation,ON,5209.2
Mohawks of Akwesasne,QC,4739.8
Alderville First Nation,ON,1240.3
Curve Lake,ON,1386.7999999999997
Hiawatha First Nation,ON,1202.7
Algonquins of Pikwakanagan First Nation,ON,688.8
Mohawks of the Bay of Quinte,ON,7362.5
Chippewas of the Thames First Nation,ON,3652.6
Munsee-Delaware Nation,ON,1054.0
Oneida Nation of the Thames,ON,2133.5
Walpole Island,ON,15891.1
Chippewas of Kettle and Stony Point,ON,1032.9
Aamjiwnaang,ON,1280.5
Zhiibaahaasing First Nation,ON,958.3000000000001
Magnetawan,ON,4721.0
Wikwemikong,ON,56510.9
Sheguiandah,ON,2070.5
Sheshegwaning,ON,2023.5
Aundeck-Omni-Kaning,ON,648.5
M'Chigeeng First Nation,ON,3094.7
Constance Lake,ON,6218.5
Eabametoong First Nation,ON,25900.3
Long Lake No.58 First Nation,ON,232.3
Martin Falls,ON,7770.1
Fort William,ON,5833.0
Whitesand,ON,249.0
Pays Plat,ON,225.0
Red Rock,ON,258.7
Animbiigoo Zaagi'igan Anishinaabek,ON,1269.9
Pic Mobert,ON,116.8
Biinjitiwaabik Zaaging Anishinaabek,ON,13.4
Batchewana First Nation,ON,2241.3999999999996
Garden River First Nation,ON,20703.5
Mississauga,ON,16075.2
Serpent River,ON,10879.0
Mishkeegogamang,ON,18696.4
North Caribou Lake,ON,9172.3
Lac Seul,ON,26821.5
Wapekeka,ON,5631.5
Bearskin Lake,ON,12626.3
Pikangikum,ON,1808.0
Kitchenuhmaykoosib Inninuwug,ON,29937.6
Kasabonika Lake,ON,10806.5
Sandy Lake,ON,4266.0
Kingfisher,ON,6962.599999999999
Muskrat Dam Lake,ON,1939.7
Sachigo Lake,ON,8144.6
Fort Severn,ON,3958.7
Cat Lake,ON,1771.0
Wunnumin,ON,9649.5
Dokis,ON,12262.2
Matachewan,ON,4158.6
Nipissing First Nation,ON,21007.3
Chapleau Cree First Nation,ON,1124.8999999999999
Temagami First Nation,ON,293.4
Missanabie Cree,ON,3892.3
Atikameksheng Anishnawbek,ON,19750.0
Michipicoten,ON,3696.6
Mattagami,ON,5261.0
Flying Post,ON,5957.1
Brunswick House,ON,9314.0
Chapleau Ojibway,ON,890.7
Whitefish River,ON,6423.3
Henvey Inlet First Nation,ON,12157.300000000001
Wahgoshig First Nation,ON,274.6
Wawakapewin,ON,5221.0
Poplar Hill,ON,705.2
Deer Lake,ON,1653.6
North Spirit Lake,ON,1815.8
Neskantaga First Nation,ON,831.5
Webequie,ON,34279.0
Aroland,ON,0.0
Slate Falls Nation,ON,6599.2
Black River First Nation,MB,809.3
Brokenhead Ojibway Nation,MB,5687.8
Fort Alexander,MB,8771.3
Hollow Water,MB,1622.9
Fisher River,MB,6318.9
Buffalo Point First Nation,MB,1233.6
Berens River,MB,2891.7000000000003
Bloodvein,MB,1625.2
Peguis,MB,30657.200000000004
Little Grand Rapids,MB,2005.8
Roseau River Anishinabe First Nation Government,MB,2577.5
Poplar River First Nation,MB,1537.8
Norway House Cree Nation,MB,34953.3
Birdtail Sioux,MB,3054.1
Long Plain,MB,4384.3
Dakota Plains,MB,530.1
Canupawakpa Dakota First Nation,MB,5224.9
Sioux Valley Dakota Nation,MB,31.7
Swan Lake,MB,6021.6
